iter	RMSE
0	8398.096375
1	8165.873953
2	7946.618918
3	7755.471112
4	7560.691405
5	7354.438727
6	7156.442324
7	6975.582772
8	6823.638809
9	6674.882938
10	6519.465389
11	6343.287726
12	6173.09752
13	6023.415953
14	5867.80618
15	5717.95184
16	5581.448903
17	5448.439377
18	5320.132132
19	5184.184707
20	5069.09567
21	4959.122924
22	4827.762149
23	4712.245044
24	4589.868279
25	4495.56783
26	4375.989619
27	4269.497616
28	4167.837612
29	4057.459847
30	3970.722063
31	3882.321784
32	3790.505455
33	3708.043691
34	3627.766468
35	3540.116254
36	3454.046759
37	3363.534012
38	3286.793408
39	3201.784164
40	3134.944574
41	3055.822808
42	2982.961269
43	2917.350667
44	2843.113522
45	2771.057045
46	2711.430704
47	2649.19387
48	2583.035589
49	2521.999878
50	2460.516943
51	2396.211363
52	2338.459921
53	2278.932604
54	2231.359238
55	2182.037706
56	2130.071208
57	2078.978284
58	2034.244772
59	1990.58553
60	1941.958625
61	1893.749067
62	1848.584797
63	1805.439931
64	1761.828929
65	1719.631838
66	1681.781314
67	1646.15508
68	1608.157283
69	1573.584592
70	1539.000829
71	1505.698698
72	1469.164331
73	1433.375634
74	1404.311786
75	1372.021008
76	1345.003529
77	1313.123678
78	1285.844384
79	1258.522
80	1229.882909
81	1203.53076
82	1178.937855
83	1155.985919
84	1132.055581
85	1112.115981
86	1089.996331
87	1065.952814
88	1045.321515
89	1026.950472
90	1008.145116
91	989.4327934
92	967.9833266
93	948.2868226
94	930.3098532
95	913.1989854
96	893.3511447
97	874.6486127
98	859.9456734
99	842.9552177
100	826.4123456
101	811.9793722
102	798.7321792
103	782.8064066
104	769.6809727
105	754.3326167
106	742.8877474
107	731.2690348
108	718.374881
109	707.7171427
110	697.7486913
111	684.6757384
112	673.0917259
113	660.0805088
114	647.8708294
115	637.4670191
116	626.3767406
117	617.0033971
118	605.2929435
119	593.7324703
120	584.8704027
121	576.5292312
122	566.7885822
123	556.2347985
124	547.3309339
125	538.0192724
126	528.878419
127	520.7951095
128	511.9125101
129	503.9560221
130	495.8932034
131	488.6030417
132	481.8571298
133	474.8202611
134	468.9583926
135	461.8078774
136	454.7986364
137	447.8604427
138	441.007889
139	434.4731162
140	428.925062
141	422.7285786
142	418.331859
143	413.5214318
144	408.4713479
145	402.9152154
146	397.4166423
147	392.7338459
148	388.0215988
149	383.583006
150	378.9239765
151	373.7627278
152	369.1960889
153	365.0504064
154	360.5007246
155	356.4552254
156	352.0298673
157	348.5949243
158	344.9293384
159	341.6196549
160	337.4776303
161	333.665178
162	330.2890648
163	326.6514238
164	322.9892524
165	319.5040532
166	316.8737434
167	313.8670608
168	310.8549777
169	307.9458127
170	305.3643827
171	302.668523
172	299.6626737
173	296.7942837
174	294.095675
175	291.7602786
176	288.8585275
177	286.2272313
178	283.814156
179	280.9065759
180	278.6802272
181	276.5655033
182	274.2402218
183	272.1861973
184	269.7388918
185	267.960527
186	266.0650218
187	263.7300969
188	261.5873915
189	260.1074942
190	258.3364181
191	256.4211003
192	254.688294
193	252.7310043
194	251.3198422
195	249.6179044
196	248.0450865
197	246.3209297
198	244.2328549
199	242.4634766
200	240.5203243
201	239.3003515
202	236.9109131
203	235.6047353
204	234.1888313
205	232.8502973
206	231.2580742
207	229.4430305
208	228.4827382
209	227.2180518
210	225.7421456
211	224.5296933
212	223.3897892
213	222.2062628
214	221.0447114
215	220.0397345
216	218.9680633
217	217.7451102
218	216.7268594
219	215.7257892
220	214.8628616
221	213.6841708
222	212.324293
223	211.2645107
224	210.2175144
225	209.3123438
226	208.2148789
227	207.6104204
228	206.213687
229	205.4581492
230	203.6721364
231	202.320544
232	201.2848381
233	200.2525366
234	199.5139813
235	198.4701705
236	197.9193831
237	196.9900896
238	195.8940269
239	195.0421034
240	193.6398024
241	192.2972634
242	191.170289
243	190.4923336
244	189.7518682
245	188.9745423
246	187.8841038
247	186.9167124
248	185.9349082
249	185.0075652
250	184.0315992
251	183.0247042
252	182.5368783
253	182.0798787
254	181.4081254
255	180.9977809
256	180.5755715
257	179.6276637
258	177.9376841
259	177.1756326
260	176.5657535
261	175.7000281
262	174.1725161
263	173.5748575
264	172.8511997
265	172.4724278
266	171.9268826
267	171.4227228
268	171.0632803
269	170.7288681
270	170.2334511
271	168.7444362
272	167.3487312
273	167.0083386
274	166.4331162
275	165.0721038
276	164.7937091
277	164.0600575
278	163.379263
279	163.075156
280	162.8223894
281	162.5505872
282	161.9447961
283	161.4906902
284	160.8769796
285	160.4174835
286	160.1925284
287	158.9102917
288	158.6688738
289	158.3220542
290	158.0748288
291	157.0096063
292	156.6182198
293	156.3876106
294	155.9156655
295	155.7339235
296	155.158396
297	154.951863
298	154.6454094
299	153.8647525
300	152.7336939
301	152.2354646
302	151.7994323
303	151.444476
304	151.2028526
305	151.0106842
306	150.8556227
307	150.4897593
308	149.8171194
309	149.0541084
310	148.4160205
311	148.2463954
312	147.142756
313	146.457409
314	146.0948538
315	145.5988472
316	145.4412248
317	144.8807872
318	144.2746934
319	143.6045151
320	142.5232164
321	142.0836465
322	141.439751
323	140.9901316
324	140.6020508
325	140.4418446
326	140.3100452
327	139.312951
328	138.316682
329	137.7657238
330	137.1475449
331	136.6462991
332	135.879624
333	135.4633438
334	134.8869774
335	134.5808252
336	134.4159144
337	133.4741102
338	133.1544864
339	132.8110668
340	132.3071524
341	131.9809451
342	131.8767406
343	131.1936476
344	130.6562246
345	130.382245
346	130.1469056
347	130.0214106
348	129.3678117
349	128.9157524
350	128.6052823
351	127.7881383
352	127.6704307
353	127.2279043
354	126.9894842
355	126.7853798
356	126.2256611
357	125.718014
358	125.2440773
359	124.5200941
360	124.2738552
361	123.8489913
362	123.5061263
363	123.3871773
364	122.9599994
365	122.844731
366	122.4063619
367	121.6212126
368	120.9500626
369	120.7224024
370	120.4402197
371	120.1279319
372	119.8305797
373	119.6790922
374	119.4626125
375	119.0912946
376	118.424695
377	118.1329017
378	118.0180802
379	117.5400907
380	117.3349912
381	117.2212189
382	116.9984341
383	116.3785058
384	115.8987491
385	115.5355604
386	115.1445568
387	114.9341623
388	114.624795
389	114.2597777
390	114.0686544
391	113.7046113
392	113.1322329
393	112.8483846
394	112.5500775
395	112.1354007
396	112.0564193
397	111.4528057
398	111.2039838
399	110.8479715
400	110.5628429
401	110.3938157
402	109.9786743
403	109.6167187
404	109.4361435
405	109.147643
406	108.856847
407	108.4780806
408	108.255611
409	107.9373477
410	107.7071784
411	107.4418934
412	106.824541
413	106.5684735
414	106.0123741
415	105.4041557
416	105.1036762
417	104.5577145
418	104.2001005
419	103.7113606
420	103.4759599
421	103.2725984
422	103.1112103
423	102.8435717
424	102.5087785
425	102.3688244
426	101.8626768
427	101.4935968
428	101.1526301
429	100.6627364
430	100.4310491
431	100.1734479
432	99.92711742
433	99.60963673
434	99.26069118
435	98.83710129
436	98.3708057
437	98.10841455
438	97.66308394
439	97.37056194
440	96.77883499
441	96.39418192
442	96.08126408
443	95.75180949
444	95.48458569
445	95.14048898
446	94.86842193
447	94.56701397
448	94.37116506
449	94.03957364
450	93.76597057
451	93.59371516
452	93.33750979
453	92.97796462
454	92.71212503
455	92.56783184
456	92.28370652
457	91.99623308
458	91.65929153
459	91.4744098
460	91.22806553
461	91.04466301
462	90.94962826
463	90.58085945
464	90.45770869
465	90.25177939
466	89.96146993
467	89.56313939
468	89.38763335
469	89.22829699
470	88.85556272
471	88.53718608
472	88.2551024
473	87.99409985
474	87.68470186
475	87.39780003
476	87.07323873
477	86.89004789
478	86.45995299
479	86.33917213
480	86.08250051
481	85.8444649
482	85.68987815
483	85.52758711
484	85.37700089
485	85.29276659
486	85.11991245
487	84.8831046
488	84.65710187
489	84.48201003
490	84.2289646
491	83.98028561
492	83.62541145
493	83.52360547
494	83.30408334
495	83.10765243
496	82.87245977
497	82.67077721
498	82.3819702
499	82.14888288
500	82.01573225
501	81.73909043
502	81.68280303
503	81.50815343
504	81.40892071
505	81.27500549
506	81.16648528
507	80.97635683
508	80.88381272
509	80.75351066
510	80.4706726
511	80.09900073
512	79.91183884
513	79.69469373
514	79.51634119
515	79.31464327
516	79.20871427
517	78.83717891
518	78.52630816
519	78.41034698
520	78.16667997
521	78.05331233
522	77.8495487
523	77.72325816
524	77.41225816
525	77.09476217
526	76.90574715
527	76.77148165
528	76.57664919
529	76.28528393
530	76.14541267
531	75.86966063
532	75.63561921
533	75.38279691
534	75.27511779
535	74.97859383
536	74.86709894
537	74.67730283
538	74.54528141
539	74.44537658
540	74.29618388
541	74.06544681
542	73.95824951
543	73.79916165
544	73.65313012
545	73.55835816
546	73.29373571
547	73.22340038
548	73.08743985
549	72.92850275
550	72.7529576
551	72.64236757
552	72.43731043
553	72.2036213
554	72.04147147
555	71.91855058
556	71.76039257
557	71.50684947
558	71.22390197
559	71.06403185
560	71.01854032
561	70.84984178
562	70.72509207
563	70.59437848
564	70.49213108
565	70.33608339
566	70.1920975
567	70.11609296
568	69.96851139
569	69.84190164
570	69.73537673
571	69.51361322
572	69.36559349
573	69.11026147
574	68.93960214
575	68.89435589
576	68.75647018
577	68.58977877
578	68.32258869
579	68.1207458
580	67.93886308
581	67.86603555
582	67.76496343
583	67.65322406
584	67.52150321
585	67.37514538
586	67.24623614
587	67.04709305
588	66.87097862
589	66.68755966
590	66.52423423
591	66.35950148
592	66.26766426
593	66.16025313
594	66.04585649
595	65.87844344
596	65.82719923
597	65.69798781
598	65.46826137
599	65.33567256
600	65.21263392
601	65.02958627
602	64.89901829
603	64.77434684
604	64.68096
605	64.60433361
606	64.48273969
607	64.27161604
608	64.14540121
609	64.06876714
610	63.86783642
611	63.76156189
612	63.59081466
613	63.49774153
614	63.32888561
615	63.14529019
616	63.03642223
617	62.9843089
618	62.83004041
619	62.70073603
620	62.49843786
621	62.34815158
622	62.19219736
623	62.08992594
624	62.02551542
625	61.94460706
626	61.7517757
627	61.57506075
628	61.51723771
629	61.38413138
630	61.30346093
631	61.18771011
632	61.01239447
633	60.9060705
634	60.81339224
635	60.77009888
636	60.64780734
637	60.46274675
638	60.29866483
639	60.21151024
640	60.11844184
641	60.00010917
642	59.9533829
643	59.87884053
644	59.84449964
645	59.67434872
646	59.53780232
647	59.43083064
648	59.33942164
649	59.15728988
650	59.0398525
651	58.92557075
652	58.72545764
653	58.64009496
654	58.57726738
655	58.47380102
656	58.39574511
657	58.29381298
658	58.11954328
659	57.96981128
660	57.91091952
661	57.83182512
662	57.77678212
663	57.63322706
664	57.48302248
665	57.42839207
666	57.32905097
667	57.24314588
668	57.10911403
669	56.97657471
670	56.8105048
671	56.66883345
672	56.56167997
673	56.52520646
674	56.46042194
675	56.3860447
676	56.26041469
677	56.10033539
678	56.0237514
679	55.86974061
680	55.76524729
681	55.66340088
682	55.53039469
683	55.49661283
684	55.46741727
685	55.4038765
686	55.30636873
687	55.18984578
688	55.12952367
689	55.03605046
690	54.92956857
691	54.83082206
692	54.72682232
693	54.59633926
694	54.46616951
695	54.37702454
696	54.30620813
697	54.25867088
698	54.14487928
699	54.06377822
700	53.94977815
701	53.86180538
702	53.83029938
703	53.76365677
704	53.63112826
705	53.52704349
706	53.36511582
707	53.33330674
708	53.25606212
709	53.16877722
710	53.08807953
711	52.99968482
712	52.90369112
713	52.80568113
714	52.72667927
715	52.67665657
716	52.55618779
717	52.45511903
718	52.38853176
719	52.29257128
720	52.26812761
721	52.14954218
722	52.02701512
723	51.92872382
724	51.86394143
725	51.79242316
726	51.74809542
727	51.71992617
728	51.63209056
729	51.56918678
730	51.45009226
731	51.40214588
732	51.30612859
733	51.21885142
734	51.15134411
735	51.07761187
736	51.00818612
737	50.96234607
738	50.89334734
739	50.83098913
740	50.77251301
741	50.66563647
742	50.61835997
743	50.54866926
744	50.41279934
745	50.29679968
746	50.21739656
747	50.08965263
748	49.96888853
749	49.8798171
750	49.79619649
751	49.67135758
752	49.61682918
753	49.53805856
754	49.45227537
755	49.39494074
756	49.3548413
757	49.28877782
758	49.19459307
759	49.15145804
760	49.06142263
761	48.96521143
762	48.92552022
763	48.8536469
764	48.75786655
765	48.68253266
766	48.58865861
767	48.52063788
768	48.42872877
769	48.37424062
770	48.31840879
771	48.24666308
772	48.18847609
773	48.11219548
774	48.04270949
775	47.95844283
776	47.92310713
777	47.80449528
778	47.75994352
779	47.67461609
780	47.60631525
781	47.53666493
782	47.43189854
783	47.30114522
784	47.21617844
785	47.12854445
786	47.06948329
787	46.98905305
788	46.90233098
789	46.81856271
790	46.78428137
791	46.69852664
792	46.59857346
793	46.52306024
794	46.43806913
795	46.34993881
796	46.27911576
797	46.22049538
798	46.16422666
799	46.12748016
800	46.06361571
801	46.00065201
802	45.94093499
803	45.87943921
804	45.81226774
805	45.77184
806	45.7219375
807	45.66357001
808	45.58340967
809	45.51785412
810	45.45611961
811	45.40424219
812	45.33458713
813	45.31715331
814	45.24983567
815	45.14355808
816	45.08606273
817	45.02469632
818	44.99278386
819	44.9315337
820	44.89543429
821	44.82590078
822	44.7724861
823	44.71936635
824	44.67978781
825	44.57198833
826	44.53433735
827	44.47916601
828	44.4437522
829	44.39262743
830	44.32149526
831	44.20751512
832	44.16946561
833	44.1400644
834	44.10865413
835	44.07045889
836	43.97653534
837	43.88224741
838	43.77556019
839	43.70221218
840	43.66968409
841	43.56762392
842	43.49905288
843	43.43023225
844	43.37847899
845	43.328355
846	43.27409626
847	43.2322988
848	43.16340466
849	43.11336689
850	43.06722747
851	42.97785295
852	42.93158613
853	42.86415522
854	42.76172974
855	42.70718939
856	42.65658314
857	42.61183752
858	42.55946503
859	42.49240104
860	42.40156832
861	42.34380235
862	42.25799559
863	42.18602094
864	42.15723896
865	42.10690708
866	42.08951572
867	42.00748033
868	41.98541529
869	41.9657822
870	41.92659541
871	41.87600242
872	41.8046624
873	41.76435721
874	41.72991714
875	41.63409892
876	41.5793465
877	41.55106825
878	41.50369602
879	41.4161787
880	41.36980831
881	41.3230891
882	41.22776155
883	41.15983233
884	41.10639336
885	41.04627563
886	40.9783808
887	40.94751402
888	40.91193432
889	40.85899484
890	40.80515276
891	40.77554904
892	40.72153586
893	40.64778158
894	40.61275438
895	40.56713171
896	40.51461618
897	40.45999828
898	40.42630648
899	40.39464999
900	40.34968113
901	40.29259839
902	40.22721125
903	40.19820278
904	40.18045358
905	40.12263953
906	40.0866864
907	40.04272265
908	39.98174327
909	39.95249308
910	39.83903658
911	39.81243137
912	39.78280362
913	39.716177
914	39.64975351
915	39.58488272
916	39.51972466
917	39.44908418
918	39.42485647
919	39.41544503
920	39.36374899
921	39.31286542
922	39.22407136
923	39.16508589
924	39.13311506
925	39.06853862
926	38.99795884
927	38.96637927
928	38.95768036
929	38.91821054
930	38.88992964
931	38.84450446
932	38.77002659
933	38.71399466
934	38.67649947
935	38.63998716
936	38.57263758
937	38.49965169
938	38.43664408
939	38.4128812
940	38.32370877
941	38.27061387
942	38.23100616
943	38.18213497
944	38.15664135
945	38.0751211
946	38.06276755
947	38.02736384
948	37.99198269
949	37.93368043
950	37.88164935
951	37.86258757
952	37.75795335
953	37.69769393
954	37.65795398
955	37.58394602
956	37.51246368
957	37.47509973
958	37.44412768
959	37.40915579
960	37.35283497
961	37.28959488
962	37.22581108
963	37.16504345
964	37.13274109
965	37.08669887
966	37.02584748
967	36.981771
968	36.9319341
969	36.9241625
970	36.90060714
971	36.84061408
972	36.76065493
973	36.73528306
974	36.71029415
975	36.66219298
976	36.62402249
977	36.56981174
978	36.55063602
979	36.52837939
980	36.49385071
981	36.45076799
982	36.43464678
983	36.40791444
984	36.37563767
985	36.33087882
986	36.28851083
987	36.23210698
988	36.21218557
989	36.18284001
990	36.14162765
991	36.10032775
992	36.05655752
993	35.99130813
994	35.94166351
995	35.89547115
996	35.87577779
997	35.84723077
998	35.75469257
999	35.68505459
6060939
