iter	Passed	Remaining
0	0	229
1	0	216
2	0	212
3	0	181
4	0	184
5	1	186
6	1	178
7	1	181
8	1	183
9	1	185
10	2	209
11	3	251
12	3	284
13	4	304
14	5	328
15	5	347
16	6	373
17	7	384
18	7	400
19	8	407
20	9	424
21	10	471
22	10	455
23	10	444
24	11	431
25	11	417
26	11	409
27	11	409
28	13	439
29	13	431
30	13	423
31	13	416
32	14	413
33	14	407
34	14	400
35	14	398
36	15	402
37	15	401
38	16	400
39	16	399
40	17	401
41	17	396
42	17	394
43	18	397
44	18	391
45	18	386
46	18	382
47	19	377
48	19	372
49	19	368
50	19	363
51	19	360
52	19	356
53	20	353
54	20	349
55	20	346
56	21	349
57	21	347
58	21	344
59	21	342
60	22	339
61	22	339
62	22	340
63	23	340
64	24	351
65	24	351
66	25	348
67	25	346
68	25	349
69	26	347
70	26	346
71	26	344
72	27	345
73	27	345
74	27	344
75	28	343
76	28	341
77	28	339
78	29	340
79	29	339
80	29	338
81	30	338
82	30	338
83	30	337
84	31	337
85	31	337
86	32	337
87	32	337
88	32	334
89	32	333
90	33	333
91	33	333
92	34	332
93	34	332
94	34	331
95	35	330
96	35	329
97	35	328
98	36	327
99	36	328
100	36	327
101	37	326
102	37	324
103	37	323
104	37	321
105	37	319
106	38	319
107	38	318
108	38	316
109	38	315
110	39	314
111	39	312
112	39	311
113	40	312
114	40	311
115	40	309
116	40	308
117	41	307
118	41	305
119	41	304
120	41	303
121	42	303
122	42	301
123	42	300
124	42	299
125	43	299
126	43	298
127	43	297
128	43	296
129	44	295
130	44	294
131	44	293
132	44	292
133	45	291
134	45	290
135	45	290
136	45	289
137	46	288
138	46	287
139	46	286
140	46	285
141	47	283
142	47	283
143	47	282
144	47	281
145	47	280
146	48	280
147	48	278
148	48	277
149	48	277
150	49	276
151	49	275
152	49	275
153	49	274
154	50	273
155	50	272
156	50	271
157	50	271
158	51	270
159	51	270
160	51	269
161	51	268
162	52	267
163	52	266
164	52	265
165	52	265
166	53	264
167	53	263
168	53	262
169	53	261
170	53	261
171	53	259
172	54	258
173	54	258
174	54	257
175	54	256
176	55	255
177	55	255
178	55	254
179	55	253
180	55	252
181	56	252
182	56	251
183	56	250
184	56	250
185	57	249
186	57	248
187	57	248
188	57	247
189	57	246
190	58	246
191	58	246
192	58	246
193	59	245
194	59	244
195	59	244
196	59	243
197	60	243
198	60	244
199	61	244
200	61	243
201	61	242
202	61	242
203	62	242
204	62	241
205	62	241
206	63	241
207	63	241
208	63	240
209	63	240
210	64	240
211	64	239
212	64	239
213	64	238
214	65	238
215	65	237
216	65	237
217	65	236
218	66	235
219	66	235
220	66	235
221	67	235
222	67	235
223	67	234
224	67	234
225	68	233
226	68	232
227	68	232
228	68	231
229	69	231
230	69	231
231	69	231
232	70	230
233	70	229
234	70	229
235	70	228
236	70	228
237	71	227
238	71	226
239	71	226
240	71	225
241	71	225
242	72	224
243	72	224
244	72	223
245	72	223
246	73	222
247	73	222
248	73	222
249	73	221
250	74	221
251	74	220
252	74	220
253	74	219
254	75	219
255	75	219
256	75	219
257	76	218
258	76	218
259	76	217
260	76	217
261	76	216
262	77	216
263	77	215
264	77	215
265	78	215
266	78	214
267	78	214
268	78	214
269	78	213
270	79	213
271	79	212
272	79	212
273	80	212
274	80	211
275	80	211
276	80	210
277	80	209
278	81	209
279	81	208
280	81	208
281	81	207
282	81	207
283	82	206
284	82	206
285	82	205
286	82	205
287	83	205
288	83	204
289	83	204
290	83	203
291	83	203
292	84	203
293	84	202
294	84	202
295	84	201
296	85	201
297	85	200
298	85	200
299	85	200
300	85	199
301	86	199
302	86	198
303	86	198
304	86	197
305	87	197
306	87	197
307	87	196
308	87	196
309	88	196
310	88	195
311	88	195
312	89	195
313	89	194
314	89	194
315	89	194
316	89	193
317	90	193
318	90	193
319	90	192
320	90	192
321	91	191
322	91	191
323	91	191
324	91	190
325	91	190
326	92	189
327	92	189
328	92	188
329	92	188
330	92	187
331	93	187
332	93	187
333	93	186
334	93	186
335	94	185
336	94	185
337	94	184
338	94	184
339	94	184
340	95	183
341	95	183
342	95	183
343	95	182
344	96	182
345	96	182
346	96	181
347	96	181
348	96	180
349	97	180
350	97	180
351	97	179
352	97	179
353	98	179
354	98	178
355	98	178
356	98	178
357	99	177
358	99	177
359	99	176
360	99	176
361	100	176
362	100	176
363	100	175
364	100	175
365	101	175
366	101	174
367	101	174
368	101	174
369	102	173
370	102	173
371	102	173
372	102	172
373	102	172
374	103	171
375	103	171
376	103	171
377	103	170
378	103	170
379	104	169
380	104	169
381	104	169
382	104	169
383	105	168
384	105	168
385	105	167
386	105	167
387	106	167
388	106	166
389	106	166
390	106	166
391	106	165
392	107	165
393	107	165
394	107	164
395	107	164
396	108	164
397	108	163
398	108	163
399	108	163
400	109	162
401	109	162
402	109	162
403	109	161
404	110	161
405	110	161
406	110	161
407	110	160
408	111	160
409	111	160
410	111	159
411	111	159
412	111	159
413	112	158
414	112	158
415	112	158
416	112	157
417	113	157
418	113	157
419	113	156
420	113	156
421	114	156
422	114	155
423	114	155
424	114	155
425	114	154
426	115	154
427	115	154
428	115	154
429	116	153
430	116	153
431	116	153
432	116	152
433	116	152
434	117	152
435	117	151
436	117	151
437	117	151
438	118	150
439	118	150
440	118	150
441	118	149
442	118	149
443	119	149
444	119	148
445	119	148
446	119	148
447	120	147
448	120	147
449	120	147
450	120	146
451	120	146
452	121	146
453	121	145
454	121	145
455	121	145
456	121	144
457	122	144
458	122	144
459	122	144
460	122	143
461	123	143
